source,id,published,vendor_project,product,title,vuln_classes,risk,routing,safe_proof_hint
CISA KEV,<specific-cve-id>,2021-11-03,Zoho,ManageEngine,Zoho ManageEngine ADSelfService Plus Authentication Bypass Vulnerability,"rce/command-execution,auth/access-control",high,local_bootstrap_review,"Use throwaway accounts, role/account matrix, positive + negative controls, and no real data retention."
GitHub Advisory,<specific-ghsa-id>,2026-05-23T00:11:53Z,,,aiograpi: Unsafe signup challenge path handling,unknown/review,unknown,local_bootstrap_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
GitHub Advisory,<specific-ghsa-id>,2026-05-23T00:12:34Z,,,instagrapi: Unsafe signup challenge path handling in instagrapi,unknown/review,unknown,local_bootstrap_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
GitHub Advisory,<specific-ghsa-id>,2026-05-23T00:16:56Z,,,Arcane: Missing admin authorization on global variables endpoint,"rce/command-execution,redirect",high,local_bootstrap_review,"Requires explicit authorization; use marker-only bounded action, pre/post health, and human confirmation gate."
GitHub Advisory,<specific-ghsa-id>,2026-05-23T00:18:33Z,,,Nezha Monitoring: Nezha WebSocket server stream discloses cross-tenant server telemetry to authenticated members,unknown/review,unknown,local_bootstrap_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
CISA KEV,<specific-cve-id>,2021-11-03,Zoho,ManageEngine,Zoho ManageEngine Desktop Central File Upload Vulnerability,"rce/command-execution,upload/archive",high,local_or_live_review_high_impact,"Requires explicit authorization; use marker-only bounded action, pre/post health, and human confirmation gate."
CISA KEV,<specific-cve-id>,2021-11-03,Yealink,Device Management,Yealink Device Management Server-Side Request Forgery (SSRF) Vulnerability,"ssrf,rce/command-execution",high,local_or_live_review_high_impact,Use callback/OAST only if explicitly allowed; prefer DNS-only marker; no metadata/internal scanning.
GitHub Advisory,<specific-ghsa-id>,2026-05-23T00:17:58Z,,,Nezha Monitoring: RoleMember can run shell on every server (cross-tenant RCE) via POST /api/v1/cron,"ssrf,rce/command-execution",high,needs_authorized_live_target,Use callback/OAST only if explicitly allowed; prefer DNS-only marker; no metadata/internal scanning.
CISA KEV,<specific-cve-id>,2021-11-03,Zyxel,Multiple Products,Zyxel Multiple Products Use of Hard-Coded Credentials Vulnerability,unknown/review,unknown,reference_only_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
CISA KEV,<specific-cve-id>,2021-11-03,Zoho,ManageEngine,Zoho ManageEngine ServiceDesk Plus (SDP) File Upload Vulnerability,upload/archive,medium,reference_only_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
NVD recent,<specific-cve-id>,2026-05-20T13:16:14.153,,,Cross-Site request forgery (CSRF) vulnerability in Sitemio Information Technologies Trade Ltd. Co. WISECP allo…,unknown/review,unknown,reference_only_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
NVD recent,<specific-cve-id>,2026-05-20T13:16:16.253,,,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Themeisl…,xss,medium,reference_only_review,"Use browser/runtime safe marker only; no cookie theft, keylogging, or victim interaction."
NVD recent,<specific-cve-id>,2026-05-20T13:16:16.750,,,Missing Authorization vulnerability in Magepeople inc. WpBookingly allows Exploiting Incorrectly Configured Ac…,auth/access-control,medium,reference_only_review,"Use throwaway accounts, role/account matrix, positive + negative controls, and no real data retention."
NVD recent,<specific-cve-id>,2026-05-20T13:16:16.897,,,Missing Authorization vulnerability in WP Chill Image Photo Gallery Final Tiles Grid allows Exploiting Incorre…,auth/access-control,medium,reference_only_review,"Use throwaway accounts, role/account matrix, positive + negative controls, and no real data retention."
NVD recent,<specific-cve-id>,2026-05-20T13:16:17.040,,,Rsync versions before 3.4.3 contain a time-of-check to time-of-use (TOCTOU) race condition in daemon file hand…,"auth/access-control,redirect",medium,reference_only_review,"Use throwaway accounts, role/account matrix, positive + negative controls, and no real data retention."
